"nerprun","pres","x","y"
"absence",0,270758.996879324,487866.591871919
"absence",0,270761.414846726,487841.969909898
"absence",0,270695.850561224,487873.312360689
"absence",0,270698.459663333,487881.392845419
"absence",0,270727.271229262,487932.761495885
"absence",0,270733.578398775,487936.815610831
"absence",0,270789.496314037,487984.304630834
"absence",0,270826.005626113,488013.499316873
"absence",0,270152.891717339,488362.495050241
"absence",0,270163.380788992,488384.450952333
"absence",0,270183.429857786,488407.547370782
"absence",0,270224.545337522,488451.919836288
"absence",0,270236.538929503,488458.634783844
"absence",0,270111.73668051,488340.70220139
"absence",0,270099.3620172,488342.062718208
"absence",0,270091.234839306,488344.346096186
"absence",0,270068.136023192,488330.329218295
"absence",0,270784.382470432,487727.555878909
"absence",0,270800.325469026,487737.390840849
"absence",0,270856.154771859,487776.217047909
"absence",0,270909.647242097,487813.895855987
"absence",0,270922.876992054,487827.035110654
"absence",0,270936.030076359,487852.580693778
"absence",0,270960.795444755,487848.401025125
"absence",0,270958.264359653,487836.670058715
"absence",0,270950.849255776,487811.123640897
"absence",0,270953.640279813,487799.982289397
"absence",0,270963.327058693,487781.633414064
"absence",0,271024.904940364,487744.930978762
"absence",0,270440.33487243,487743.644586184
"absence",0,270443.49549092,487742.908943096
"absence",0,270472.082144179,487738.201216232
"absence",0,270468.488825829,487725.021070301
"absence",0,270405.089983471,487725.94946075
"absence",0,270409.134239709,487768.900622574
"absence",0,270408.749096952,487769.554406063
"absence",0,270414.029987733,487785.416297124
"absence",0,270395.500313273,487783.308628521
"absence",0,270413.19962871,487810.462963791
"absence",0,270412.553245333,487866.142165452
"absence",0,270406.184074937,487874.592945551
"absence",0,270406.587913422,487891.989680193
"absence",0,270407.977926615,487903.238632262
"absence",0,270405.363194975,487938.524148021
"absence",0,270385.413963958,487929.347782767
"absence",0,270379.730434562,487927.408409122
"absence",0,270996.242479873,487772.080061335
"absence",0,263717.902399202,487421.316840056
"absence",0,263723.361144831,487433.841325862
"absence",0,263731.147570618,487452.259163061
"absence",0,263837.627519699,487493.960184019
"absence",0,263824.836801647,487496.48987486
"absence",0,263756.446137749,487512.637424061
"absence",0,263752.400756768,487503.473426675
"absence",0,263677.431056594,487612.571454094
"absence",0,263550.451399506,487589.603918001
"absence",0,263544.836749935,487600.918895358
"absence",0,263525.602565643,487625.930907989
"absence",0,263548.750965861,487635.474495026
"absence",0,263563.784716405,487648.638819197
"absence",0,263575.830602103,487690.787608288
"absence",0,263574.309735962,487740.452517238
"absence",0,263574.28186615,487747.843751263
"absence",0,263589.930720573,487779.925695619
"absence",0,263622.297172052,487778.520439518
"absence",0,263635.646003327,487766.162221543
"absence",0,263652.960537779,487759.453464127
"absence",0,263416.167731446,489377.594510889
"absence",0,263424.04223746,489422.194402093
"absence",0,263449.25343315,489454.671371821
"absence",0,263484.93602856,489459.572979231
"absence",0,263494.594119527,489448.389440419
"absence",0,263516.757873239,489409.133739338
"absence",0,263538.838865119,489397.848604747
"absence",0,264151.662905475,489388.180653688
"absence",0,264168.903098117,489389.999941788
"absence",0,264182.181852509,489362.802176399
"absence",0,264126.717711688,489332.696019793
"absence",0,264107.205491521,489339.74334052
"absence",0,264099.691362768,489345.917983675
"absence",0,261508.170216811,488018.222944708
"absence",0,261556.263351286,488034.400987718
"absence",0,261625.758765742,488039.204036356
"absence",0,261593.788927645,488009.271001965
"absence",0,261649.841457561,487983.101327055
"absence",0,261687.990964924,488070.628890499
"absence",0,261686.894372426,488131.69420499
"absence",0,261614.115595979,488125.751682494
"absence",0,261742.497781053,488797.207103823
"absence",0,261750.266428789,488794.52017392
"absence",0,261759.836501782,488794.100449175
"absence",0,261777.521008563,488803.922938688
"absence",0,261783.221081621,488804.660420155
"absence",0,261791.101644769,488779.480091463
"absence",0,261792.268524107,488753.616643138
"absence",0,261785.09847717,488688.30866818
"absence",0,261770.639580946,488688.036416094
"absence",0,261730.975370628,488492.80077523
"absence",0,261737.406648226,488495.930496655
"absence",0,261758.153076205,488496.278439118
"absence",0,261802.16743204,488526.874457735
"absence",0,261826.585606693,488520.317175581
"absence",0,261466.087518166,489067.675177113
"absence",0,261524.675573672,489069.535098118
"absence",0,261554.683201074,489013.078346097
"absence",0,262617.942438803,491095.974889156
"absence",0,262652.370514307,491090.443331091
"absence",0,262676.89189754,491094.655642812
"absence",0,262692.584577984,491103.839553977
"absence",0,262727.098425287,491108.154528804
"absence",0,262749.642317801,491127.302876172
"absence",0,262785.637227796,491132.860702382
"absence",0,262822.690345331,491147.918091125
"absence",0,262846.598931504,491120.241091126
"absence",0,262872.807984907,491132.671439959
"absence",0,263008.083368609,491108.110953085
"absence",0,263015.968536568,491054.86212675
"absence",0,263037.226978598,491034.707340307
"absence",0,263053.537789749,491014.323287193
"absence",0,263062.027502091,490990.901874585
"absence",0,262923.11123227,490963.894244914
"absence",0,262902.082967445,490960.635509242
"absence",0,262798.462827687,490930.760710153
"absence",0,262820.929312582,490949.795812615
"absence",0,262839.196517919,490946.948142088
"absence",0,262866.898874893,490952.416961897
"absence",0,262752.674808498,490935.517518454
"absence",0,267121.951182168,490602.242640052
"absence",0,267121.10496469,490613.721648914
"absence",0,267129.156089888,490638.481260171
"absence",0,267138.466345443,490657.482569027
"absence",0,267236.17129899,490636.257585799
"absence",0,267241.093109077,490609.004227674
"absence",0,267223.479014291,490594.16624261
"absence",0,267202.688697232,490564.550443073
"absence",0,267654.04972926,490704.865107573
"absence",0,267647.370459684,490717.759060922
"absence",0,267634.213687922,490760.213676045
"absence",0,262552.498147717,490647.646289298
"absence",0,262566.70512309,490647.225237782
"absence",0,262600.134964483,490664.073292654
"absence",0,262570.234734577,490731.417581811
"absence",0,262561.838350593,490732.806704533
"absence",0,262555.534769827,490735.641964433
"absence",0,262489.589375991,490819.275900987
"absence",0,262516.030930568,490863.242262027
"absence",0,262488.638861016,490795.020724771
"absence",0,263607.793625307,490491.838293658
"absence",0,263608.821934863,490487.427837379
"absence",0,263608.26330178,490473.048586866
"absence",0,263573.739483485,490480.372800639
"absence",0,263551.998973437,490484.220391524
"absence",0,263534.46486504,490493.419115292
"absence",0,263542.972602496,490502.094858109
"absence",0,263553.197499024,490525.278376417
"absence",0,263535.337618466,490558.304028936
"absence",0,261918.437639466,490555.262864872
"absence",0,261908.230323464,490557.372117023
"absence",0,261843.206318047,490522.24309762
"absence",0,261816.218087018,490498.662100932
"absence",0,262579.284886886,490683.18760391
"absence",0,262593.74802532,490711.006685573
"absence",0,267013.767034101,484411.969200168
"absence",0,266977.705760877,484366.447733602
"absence",0,267035.939004448,484460.432336367
"absence",0,267073.269200096,484519.39052012
"absence",0,267866.891601752,484897.74848406
"absence",0,267864.822119429,484919.565315072
"absence",0,267860.667008213,484924.345025845
"absence",0,269556.603131355,486375.921971737
"absence",0,269570.214363357,486378.057185885
"absence",0,269620.493695568,486368.087720464
"absence",0,269680.145559552,486264.260142494
"absence",0,269677.893099312,486270.127131409
"absence",0,269618.971470683,486314.611522978
"absence",0,269600.917942296,486334.521012094
"absence",0,269523.419827642,486419.984522365
"absence",0,269520.249424533,486432.966757369
"absence",0,269521.095248057,486447.282067241
"absence",0,270606.232291525,492196.307435457
"absence",0,270611.359852904,492192.0570463
"absence",0,270606.269916484,492178.942613084
"absence",0,270593.440477188,492168.304975379
"absence",0,270602.17837943,492140.228661507
"absence",0,270612.2859907,492150.503358484
"absence",0,274058.00819372,491065.900848241
"absence",0,274109.277086505,491088.977248932
"absence",0,274138.747988991,491100.780089504
"absence",0,274171.062136215,491108.297015777
"absence",0,274165.002536879,491112.48099561
"absence",0,276016.44488062,490983.810671943
"absence",0,275979.994007766,491008.953417945
"absence",0,275966.554041293,491022.533508721
"absence",0,275961.653585663,491086.483750502
"absence",0,275971.629362327,491102.581596726
"absence",0,275998.113458583,491152.208702
"absence",0,275938.339044162,491052.931042052
"absence",0,276897.272252021,490420.060307714
"absence",0,276908.265540328,490448.167297499
"absence",0,276890.363280821,490434.011936681
"absence",0,275827.364347255,489344.42595901
"absence",0,275832.63950619,489326.384632071
"absence",0,275836.719033901,489315.210712729
"absence",0,275840.882372683,489307.294654048
